WGTP,PWGTP,SOCP,ST,
131,210,359021,23,
131,192,-1,23,
49,49,172051,23,
49,43,-1,23,
49,122,372012,23,
49,143,-1,23,
49,81,-1,23,
49,84,-1,23,
49,84,-1,23,
49,141,-1,23,
49,72,252020,23,
100,99,435052,23,
43,43,131111,23,
43,114,1191XX,23,
299,300,351012,23,
53,53,-1,23,
53,49,-1,23,
32,32,373011,23,
32,55,391000,23,
49,49,-1,23,
19,19,252020,23,
19,23,339030,23,
126,126,436014,23,
43,43,-1,23,
43,51,113061,23,
51,51,113051,23,
51,168,499021,23,
11,12,-1,23,
11,15,434051,23,
66,66,1191XX,23,
66,76,131082,23,
21,20,436014,23,
21,19,1191XX,23,
169,169,171011,23,
169,135,493023,23,
169,129,131070,23,
169,144,132070,23,
156,156,491011,23,
156,184,119081,23,
24,24,-1,23,
84,84,1191XX,23,
84,93,271010,23,
233,234,371012,23,
233,250,537065,23,
233,240,-1,23,
163,163,-1,23,
17,17,119021,23,
33,33,291141,23,
33,33,472061,23,
46,46,433071,23,
46,55,411011,23,
75,75,519061,23,
75,38,513011,23,
75,41,-1,23,
75,44,-1,23,
75,46,-1,23,
110,110,291141,23,
110,117,291051,23,
100,100,259040,23,
100,103,519061,23,
100,89,-1,23,
100,89,-1,23,
100,89,-1,23,
100,135,-1,23,
282,281,513091,23,
282,299,-1,23,
282,169,-1,23,
282,299,-1,23,
71,71,436013,23,
71,102,311131,23,
105,104,113031,23,
105,115,252020,23,
105,139,537063,23,
140,140,132052,23,
36,35,273043,23,
140,140,537062,23,
140,142,-1,23,
38,38,-1,23,
30,29,-1,23,
30,33,-1,23,
36,35,113031,23,
36,45,132051,23,
36,41,412031,23,
42,42,1191XX,23,
226,227,252020,23,
226,217,-1,23,
56,56,212011,23,
56,62,-1,23,
90,90,436014,23,
88,88,472070,23,
63,63,-1,23,
63,63,-1,23,
163,163,533030,23,
163,235,-1,23,
163,242,-1,23,
163,203,-1,23,
163,247,-1,23,
296,296,-1,23,
296,340,291240,23,
103,103,-1,23,
103,100,5120XX,23,
103,78,412010,23,
92,92,533030,23,
92,93,119141,23,
142,143,1191XX,23,
142,159,-1,23,
37,38,493050,23,
37,30,-1,23,
143,142,132011,23,
130,131,212011,23,
130,131,-1,23,
243,243,252020,23,
197,198,-1,23,
35,36,252050,23,
35,29,454020,23,
14,14,-1,23,
14,15,533052,23,
14,14,471011,23,
14,15,319097,23,
14,66,373011,23,
14,46,-1,23,
133,133,311131,23,
133,161,252020,23,
17,17,533030,23,
17,21,-1,23,
51,51,436014,23,
51,32,435051,23,
51,58,-1,23,
15,16,311122,23,
15,15,472031,23,
9,9,5191XX,23,
9,23,311121,23,
130,131,254031,23,
130,130,471011,23,
130,160,353023,23,
130,149,-1,23,
75,76,1110XX,23,
75,62,474011,23,
224,223,291041,23,
224,156,-1,23,
224,156,-1,23,
92,91,291127,23,
121,121,537062,23,
121,88,434051,23,
121,65,-1,23,
121,65,-1,23,
47,47,414010,23,
47,44,419020,23,
19,19,537062,23,
19,17,435111,23,
159,158,-1,23,
128,128,291051,23,
128,126,-1,23,
128,117,-1,23,
128,119,-1,23,
65,64,411012,23,
65,59,5140XX,23,
134,134,-1,23,
196,197,493023,23,
196,167,1110XX,23,
284,284,439021,23,
284,349,-1,23,
284,221,-1,23,
70,70,-1,23,
70,83,-1,23,
70,63,-1,23,
70,61,-1,23,
151,151,493031,23,
151,109,434111,23,
151,80,-1,23,
151,80,-1,23,
151,133,-1,23,
151,133,-1,23,
254,255,37201X,23,
26,25,311122,23,
26,18,-1,23,
54,54,434051,23,
54,67,292072,23,
54,65,392021,23,
74,75,1191XX,23,
74,74,252030,23,
105,105,-1,23,
105,98,113031,23,
106,106,-1,23,
34,34,-1,23,
20,19,-1,23,
20,25,151251,23,
56,56,273041,23,
56,62,1191XX,23,
92,92,119051,23,
92,103,351011,23,
47,48,353011,23,
47,43,434051,23,
29,29,-1,23,
131,131,397010,23,
106,106,1191XX,23,
106,104,19303X,23,
178,178,-1,23,
21,21,-1,23,
40,40,533053,23,
21,21,291141,23,
21,25,397010,23,
43,44,537062,23,
43,37,311131,23,
43,65,-1,23,
46,46,434171,23,
46,45,412010,23,
52,52,132011,23,
52,51,436014,23,
52,99,352010,23,
62,61,412022,23,
62,31,37201X,23,
62,22,-1,23,
62,28,-1,23,
62,40,-1,23,
36,36,537065,23,
36,56,311122,23,
53,53,-1,23,
39,40,472031,23,
49,50,-1,23,
126,126,113031,23,
126,89,411011,23,
126,87,353023,23,
98,98,519111,23,
98,98,-1,23,
98,118,392021,23,
71,71,291141,23,
71,59,514120,23,
71,51,31909X,23,
71,106,-1,23,
61,61,434031,23,
121,122,-1,23,
121,94,-1,23,
