O*NET-SOC Code,Reading Comprehension,Active Listening,Writing,Speaking,Mathematics,Science,Critical Thinking,Active Learning,Learning Strategies,Monitoring,Social Perceptiveness,Coordination,Persuasion,Negotiation,Instructing,Service Orientation,Complex Problem Solving,Operations Analysis,Technology Design,Equipment Selection,Installation,Programming,Operations Monitoring,Operation and Control,Equipment Maintenance,Troubleshooting,Repairing,Quality Control Analysis,Judgment and Decision Making,Systems Analysis,Systems Evaluation,Time Management,Management of Financial Resources,Management of Material Resources,Management of Personnel Resources,Change in Employment
19-2031,5.0,3.75,4.75,4.0,4.38,5.12,4.12,4.12,3.12,3.75,2.88,3.12,2.62,2.38,3.62,2.62,4.0,2.88,1.5,2.62,0.0,1.75,3.12,2.5,2.62,2.62,2.5,3.25,3.38,3.12,3.25,2.88,1.75,2.12,2.75,-2440.0
19-2032,4.88,4.12,4.25,4.25,4.0,5.0,4.12,4.0,3.38,4.12,3.12,3.0,3.0,2.75,3.25,2.88,4.12,4.12,1.5,0.88,0.0,1.0,2.75,2.0,0.88,1.88,1.12,2.75,3.88,3.38,3.38,2.88,1.5,1.88,2.62,-190.0
19-2041,4.5,4.0600000000000005,4.375,4.1850000000000005,3.69,4.0,4.12,4.0,3.375,3.88,3.375,3.375,3.185,2.94,3.435,3.06,4.0,2.815,1.56,0.06,0.0,1.94,1.935,1.125,0.0,0.375,0.0,2.13,3.94,3.88,3.75,3.38,2.125,2.12,2.94,-4450.0
19-2042,4.88,4.25,4.62,4.38,4.12,4.62,4.25,3.75,3.12,3.38,3.12,3.25,2.88,2.62,3.0,2.5,4.12,3.12,0.75,1.12,0.0,1.62,1.88,1.75,0.0,0.62,0.0,2.0,4.0,3.5,3.38,2.88,1.12,0.75,2.62,-4800.0
19-2043,4.62,4.0,4.12,4.12,4.38,4.38,4.5,4.38,3.38,4.0,3.0,3.12,3.25,3.0,3.12,2.88,4.12,2.62,1.0,1.62,1.88,2.62,2.38,1.88,2.0,2.0,1.38,2.88,3.75,3.75,3.62,3.25,1.5,1.75,2.88,-140.0
19-2099,4.88,4.12,4.75,3.88,4.25,4.12,4.25,3.88,3.12,3.88,3.0,3.12,2.88,2.75,3.25,3.0,4.0,3.88,2.25,0.38,0.25,2.38,2.5,1.12,0.12,0.25,0.0,1.12,4.0,3.88,3.88,3.38,1.88,2.25,3.0,-5480.0
19-3011,4.75,4.125,4.3149999999999995,4.1850000000000005,4.5,2.435,4.375,4.0,3.625,3.685,3.0,3.06,3.435,2.75,3.31,2.88,4.0,2.5,1.0,0.0,0.0,1.75,0.375,0.0,0.0,0.0,0.0,0.815,4.0,3.815,3.75,3.0,2.315,1.62,2.5,320.0
19-3022,4.25,4.12,4.12,4.12,4.25,2.75,4.25,4.0,3.38,3.62,3.25,3.25,3.12,2.75,3.25,3.0,3.75,2.5,1.12,0.0,0.0,2.25,1.25,0.12,0.0,0.0,0.0,1.38,3.75,3.12,3.25,3.5,1.5,1.5,3.0,-5480.0
19-3032,4.75,4.62,4.75,4.62,4.0,3.75,4.25,4.12,4.0,4.12,4.12,4.12,3.88,3.38,4.0,3.25,4.0,3.38,1.0,0.25,0.0,3.38,1.88,0.0,0.0,0.0,0.0,2.0,4.0,4.12,4.12,3.88,2.25,2.12,4.0,-480.0
19-3041,4.88,4.62,4.75,4.5,3.38,3.62,4.25,4.12,4.0,3.88,4.25,3.12,3.12,3.0,3.88,3.12,3.75,2.5,0.62,0.0,0.0,0.75,0.38,0.0,0.0,0.0,0.0,0.5,3.75,3.62,3.0,3.0,0.88,1.5,3.0,390.0
